AssetTagNo,RegistrationNo,Make,Model,FuelType(inferred),OdometerKm,Year,AltPlate,Notes
5550000190,PF 4079 SPY,TOYOTA,PRADO,Diesel,0,,,
5550000223,PHC 185 AM,NISSAN,PICKUP,Diesel,0,,,
5550000224,PHC 178 AM,NISSAN,NAVARA,Diesel,109315,,,
5550000280,KRD 341 CE,TOYOTA,PRADO,Diesel,0,,,
5550000281,KRD 339 CE,TOYOTA,PRADO,Diesel,0,,,
5550000346,KRD 338 CE,TOYOTA,PRADO,Diesel,161588,,,
5550000384,PHC 177 AM,TOYOTA,PRADO,Diesel,0,,,
5550000398,GGU 693 TX,TOYOTA,HILUX,Diesel,0,,,
5550000399,GGU 692 TX,TOYOTA,HILUX,Diesel,0,,,
5550000618,PHC 179 AM,TOYOTA,HILUX,Diesel,0,,,
5550000619,GGU 695 TX,TOYOTA,HILUX,Diesel,176577,,,
5550000620,GGU 696 TX,TOYOTA,HILUX,Diesel,0,,,
5550000641,CX 211 RBC,TOYOTA,CAMRY,Petrol,0,,,
5550000735,GGE 70 AY,TOYOTA,LANDCRUISER,Diesel,0,,,
5550000906,LSD 65 BP,HYUNDAI,CAR,Diesel,0,,,
5550000912,AGL 105 BU,TOYOTA,HIACE BUS,Diesel,0,,,
5550000950,SMK 126 CE,TOYOTA,LAND CRUISER,Diesel,0,,,
5550000956,KRD 407 CG,TOYOTA,HILUX,Diesel,270593,,PF 2414 SPY,
5550000957,KRD 406 CG,TOYOTA,HILUX,Diesel,223346,,PF 2415 SPY,
5550001005,KTU 905 CK,TOYOTA,HIACE BUS,Diesel,164560,,,
5550001008,JJJ 599 CM,LEXUS,LX 570 SUV,Petrol,116289,,,
5550001010,JJJ 597 CM,LEXUS,LX 570 SUV,Petrol,0,,,
5550001231,AKD 90 CP,TOYOTA,PRADO VX,Diesel,0,,,
5550001258,SMK 179 CW,TOYOTA,TOYOYA CAMRY XLE,Petrol,44666,,,
5550001280,APP 785 CU,LEXUS,"LX570, B6 ARMOURED",Petrol,0,,PF 253 SPY,
5550001331,FKJ 877 DB,TOYOTA,LANDCRUISER,Diesel,0,,,
5550001332,FKJ 876 DB,TOYOTA,LANDCRUISER,Diesel,0,,,
5550001368,LSR 261 CX,TOYOTA,PRADO VX,Diesel,0,,,
5550001528,RUM 513 CB,TOYOTA,LAND CRUISER PRADO TXL,Diesel,131048,,,
5550001616,SMK 51 DM,HYUNDAI,IX 35 ELEGANCE,Diesel,117248,,,
5550001617,SMK 48 DM,HYUNDAI,SANTA FE IX 45,Diesel,120426,,,
5550001620,FKJ 862 DJ,HYUNDAI,IX 35 ELEGANCE,Diesel,144760,,,
5550001621,FKJ 988 DJ,HYUNDAI,IX 35 ELEGANCE,Diesel,119234,,,
5550001639,GGE 223 DK,HYUNDAI,IX 35 ELEGANCE,Diesel,0,,,
5550001817,SMK 50 DM,HYUNDAI,SANTA FE IX 45 ELEGANCE,Diesel,111857,,,
5550001910,APP 40 DQ,KIA,SPORTAGE BLACK PEARL,Diesel,0,,,
5550001911,APP 42 DQ,KIA,CERATO,Diesel,126894,,,
5550001912,APP 41 DQ,LEXUS,GX,Petrol,0,,,
5550001913,APP 43 DQ,LEXUS,GX 470 JEEP,Petrol,0,,,
5550002023,PHC 896 FW,NISSAN,NAVARA PICKUP,Diesel,0,,,
5550002024,PHC 895 FW,NISSAN,NAVARA PICKUP,Diesel,0,,,
5550002132,PHC 118 NT,NISSAN,PICKUP NP300,Diesel,105740,,,
5550002641,LND 583 ET,TOYOTA,FORTUNER,Diesel,135820,,,
5550002654,APP 388 ET,TOYOTA,FORTUNER,Diesel,102889,,,
5550002662,NCH 53 ST,MITSUBISHI,OUTLANDER,Diesel,0,,,
5550002663,NCH 52 ST,MITSUBISHI,OUTLANDER,Diesel,98135,,,
5550002664,AGL 272 EU,TOYOTA,HILUX PICKUP,Diesel,0,,,
5550002665,AGL 273 EU,TOYOTA,HILUX PICKUP,Diesel,0,,,
5550002666,AGL 274 EU,TOYOTA,HILUX PICKUP,Diesel,0,,,
5550002667,AGL 275 EU,TOYOTA,HILUX PICKUP,Diesel,0,,,
5550002686,PHC 82 AJ,TOYOTA,HILUX PICKUP,Diesel,0,,,
5550002888,EPE-776-EW,NISSAN,URVAN 15 SEATER BUS,Diesel,0,,,
5550002902,KTU 570 EU,HYUNDAI,TUCSON EVOLUTION,Diesel,0,,,
5550002911,KSF 375 EY,NISSAN,PICKUP NP300,Diesel,0,,,
5550002912,KSF 376 EY,NISSAN,PICKUP NP300,Diesel,127262,,,
